arrondissement;personnes_agees;personnes_handicapees;exercice;forme_geographique;geo_point_2d
75004;1226;199;2014;"{""coordinates"": [[[2.34455922608557, 48.8539893055512], [2.35009126441938, 48.8619517498143], [2.36840857217282, 48.855737300041], [2.36901963711685, 48.8532214407367], [2.36431803561907, 48.8461671913211], [2.34455922608557, 48.8539893055512]]], ""type"": ""Polygon""}";48.8542262543, 2.35736312527
75018;9514;1931;2017;"{""coordinates"": [[[2.36467766640117, 48.8842913518655], [2.33795550611185, 48.882249883367], [2.3271206970663, 48.8834854166088], [2.32575714183504, 48.8869545567691], [2.32998052204671, 48.9011632821189], [2.3702905140491, 48.9016535952765], [2.36980824223766, 48.8933764506353], [2.36467766640117, 48.8842913518655]]], ""type"": ""Polygon""}";48.8923628559, 2.34785432498
75012;6696;1326;2015;"{""coordinates"": [[[2.36595082088096, 48.8449086592693], [2.36431803561907, 48.8461671913211], [2.36901963711685, 48.8532214407367], [2.39519112197072, 48.8484479278326], [2.41597111076957, 48.8466229562686], [2.41147187492762, 48.8339289387644], [2.41392106344663, 48.833711627043], [2.42213863624352, 48.8357976609467], [2.41935468026345, 48.8424574251634], [2.42184798892757, 48.8444372911819], [2.42437046638964, 48.8419429508425], [2.42813016998521, 48.8415283924648], [2.44919713959653, 48.8446607672546], [2.46492722527069, 48.8413263074933], [2.46742643872082, 48.8388912153633], [2.46758198836734, 48.8331333187843], [2.46269606275235, 48.8190597705554], [2.45723592780467, 48.8169791434167], [2.43844751027419, 48.8182324478685], [2.40603182340097, 48.8276154707707], [2.39007201451133, 48.8256923268112], [2.36595082088096, 48.8449086592693]]], ""type"": ""Polygon""}";48.8347421662, 2.42053665524
75010;3382;801;2017;"{""coordinates"": [[[2.36467766640117, 48.8842913518655], [2.37021022590368, 48.8825821813927], [2.37034309079403, 48.8779090608478], [2.37701535209984, 48.871921129272], [2.36385133901257, 48.8674316382724], [2.34783177108485, 48.8706244203262], [2.34955084012322, 48.8836201679033], [2.36467766640117, 48.8842913518655]]], ""type"": ""Polygon""}";48.8759734307, 2.36068494701
75009;2203;297;2014;"{""coordinates"": [[[2.32576162546975, 48.8695461334678], [2.3271206970663, 48.8834854166088], [2.33795550611185, 48.882249883367], [2.34955084012322, 48.8836201679033], [2.34783177108485, 48.8706244203262], [2.33992981056767, 48.8719373105105], [2.32576162546975, 48.8695461334678]]], ""type"": ""Polygon""}";48.8769274899, 2.33736632955
75016;4538;648;2017;"{""coordinates"": [[[2.22567029225698, 48.8594045623879], [2.23173635974686, 48.8690685816018], [2.24570378840558, 48.876459232468], [2.25541033668947, 48.8742635426679], [2.25846717111418, 48.8803872630774], [2.27994933256755, 48.8785731239734], [2.2951453922338, 48.8738619796685], [2.30155627217162, 48.8634752349574], [2.29209176843771, 48.8601918482662], [2.26279152452652, 48.8339233735154], [2.25514423841751, 48.8348095493609], [2.25170930894686, 48.838821816226], [2.25061244171616, 48.845554851203], [2.22421910588045, 48.8535169175484], [2.22567029225698, 48.8594045623879]]], ""type"": ""Polygon""}";48.8603821025, 2.26201220212
75003;1447;210;2014;"{""coordinates"": [[[2.35009126441938, 48.8619517498143], [2.35411149265971, 48.8692752858867], [2.36323895549957, 48.8677908163587], [2.36664249248927, 48.8631170046771], [2.36840857217282, 48.855737300041], [2.35009126441938, 48.8619517498143]]], ""type"": ""Polygon""}";48.8630306677, 2.35966713643
75015;11478;1751;2013;"{""coordinates"": [[[2.28977827659606, 48.8581231137605], [2.31055850961587, 48.8467733241293], [2.31662816028765, 48.8467523874689], [2.32466354462507, 48.8435180387147], [2.30131541848845, 48.8251257608331], [2.27905193065333, 48.832489952137], [2.27279319018676, 48.8279200842171], [2.26754381105017, 48.8277864187341], [2.26721191224483, 48.8315321075909], [2.26943516616923, 48.8327958456285], [2.26279152452652, 48.8339233735154], [2.28977827659606, 48.8581231137605]]], ""type"": ""Polygon""}";48.8401714342, 2.29321693746
75001;554;94;2016;"{""coordinates"": [[[2.34455922608557, 48.8539893055512], [2.33843109348126, 48.8579082368057], [2.32077735158066, 48.8630750359323], [2.32521591269546, 48.8693667868936], [2.32766887314287, 48.8698608398302], [2.35084132055631, 48.8633444115649], [2.34455922608557, 48.8539893055512]]], ""type"": ""Polygon""}";48.862834158, 2.33616696102
75020;11963;2487;2013;"{""coordinates"": [[[2.37701535209984, 48.871921129272], [2.41069034663833, 48.8784751065079], [2.41327044978035, 48.8731169800362], [2.41597111076957, 48.8466229562686], [2.39911844487259, 48.8480944847273], [2.39430044202936, 48.8564917114741], [2.37701535209984, 48.871921129272]]], ""type"": ""Polygon""}";48.8634587721, 2.40123411777
75008;800;128;2016;"{""coordinates"": [[[2.3271206970663, 48.8834854166088], [2.32576162546975, 48.8695461334678], [2.32077735158066, 48.8630750359323], [2.30155627217162, 48.8634752349574], [2.2951453922338, 48.8738619796685], [2.29834363574269, 48.8781328519077], [2.3271206970663, 48.8834854166088]]], ""type"": ""Polygon""}";48.8725623657, 2.31240969073
75016;4805;609;2015;"{""coordinates"": [[[2.22567029225698, 48.8594045623879], [2.23173635974686, 48.8690685816018], [2.24570378840558, 48.876459232468], [2.25541033668947, 48.8742635426679], [2.25846717111418, 48.8803872630774], [2.27994933256755, 48.8785731239734], [2.2951453922338, 48.8738619796685], [2.30155627217162, 48.8634752349574], [2.29209176843771, 48.8601918482662], [2.26279152452652, 48.8339233735154], [2.25514423841751, 48.8348095493609], [2.25170930894686, 48.838821816226], [2.25061244171616, 48.845554851203], [2.22421910588045, 48.8535169175484], [2.22567029225698, 48.8594045623879]]], ""type"": ""Polygon""}";48.8603821025, 2.26201220212
75020;11953;2506;2014;"{""coordinates"": [[[2.37701535209984, 48.871921129272], [2.41069034663833, 48.8784751065079], [2.41327044978035, 48.8731169800362], [2.41597111076957, 48.8466229562686], [2.39911844487259, 48.8480944847273], [2.39430044202936, 48.8564917114741], [2.37701535209984, 48.871921129272]]], ""type"": ""Polygon""}";48.8634587721, 2.40123411777
75004;1056;216;2016;"{""coordinates"": [[[2.34455922608557, 48.8539893055512], [2.35009126441938, 48.8619517498143], [2.36840857217282, 48.855737300041], [2.36901963711685, 48.8532214407367], [2.36431803561907, 48.8461671913211], [2.34455922608557, 48.8539893055512]]], ""type"": ""Polygon""}";48.8542262543, 2.35736312527
75002;656;146;2017;"{""coordinates"": [[[2.34783177108485, 48.8706244203262], [2.35411149265971, 48.8692752858867], [2.35084132055631, 48.8633444115649], [2.32787336218608, 48.8698610889494], [2.33992981056767, 48.8719373105105], [2.34783177108485, 48.8706244203262]]], ""type"": ""Polygon""}";48.8683234515, 2.3432977179
75018;9426;1949;2016;"{""coordinates"": [[[2.36467766640117, 48.8842913518655], [2.33795550611185, 48.882249883367], [2.3271206970663, 48.8834854166088], [2.32575714183504, 48.8869545567691], [2.32998052204671, 48.9011632821189], [2.3702905140491, 48.9016535952765], [2.36980824223766, 48.8933764506353], [2.36467766640117, 48.8842913518655]]], ""type"": ""Polygon""}";48.8923628559, 2.34785432498
75006;1447;137;2013;"{""coordinates"": [[[2.34455922608557, 48.8539893055512], [2.33659270717766, 48.8396905371344], [2.31662816028765, 48.8467523874689], [2.32862554778994, 48.8520123157451], [2.33284690006714, 48.8593009074522], [2.33843109348126, 48.8579082368057], [2.34455922608557, 48.8539893055512]]], ""type"": ""Polygon""}";48.8492531918, 2.33300877472
75018;11048;1860;2013;"{""coordinates"": [[[2.36467766640117, 48.8842913518655], [2.33795550611185, 48.882249883367], [2.3271206970663, 48.8834854166088], [2.32575714183504, 48.8869545567691], [2.32998052204671, 48.9011632821189], [2.3702905140491, 48.9016535952765], [2.36980824223766, 48.8933764506353], [2.36467766640117, 48.8842913518655]]], ""type"": ""Polygon""}";48.8923628559, 2.34785432498
75013;9440;2049;2016;"{""coordinates"": [[[2.36595082088096, 48.8449086592693], [2.39007201451133, 48.8256923268112], [2.36394655019101, 48.8163142100251], [2.34390250474415, 48.8157670012883], [2.34441820366695, 48.8195940074234], [2.34149377223358, 48.8285681240667], [2.34203846359475, 48.8382969179241], [2.35308011410299, 48.8371726778218], [2.36138703382881, 48.8398227761763], [2.36595082088096, 48.8449086592693]]], ""type"": ""Polygon""}";48.8283577313, 2.36214011885
75009;1912;297;2015;"{""coordinates"": [[[2.32576162546975, 48.8695461334678], [2.3271206970663, 48.8834854166088], [2.33795550611185, 48.882249883367], [2.34955084012322, 48.8836201679033], [2.34783177108485, 48.8706244203262], [2.33992981056767, 48.8719373105105], [2.32576162546975, 48.8695461334678]]], ""type"": ""Polygon""}";48.8769274899, 2.33736632955
75015;11208;1820;2014;"{""coordinates"": [[[2.28977827659606, 48.8581231137605], [2.31055850961587, 48.8467733241293], [2.31662816028765, 48.8467523874689], [2.32466354462507, 48.8435180387147], [2.30131541848845, 48.8251257608331], [2.27905193065333, 48.832489952137], [2.27279319018676, 48.8279200842171], [2.26754381105017, 48.8277864187341], [2.26721191224483, 48.8315321075909], [2.26943516616923, 48.8327958456285], [2.26279152452652, 48.8339233735154], [2.28977827659606, 48.8581231137605]]], ""type"": ""Polygon""}";48.8401714342, 2.29321693746
75003;1219;217;2016;"{""coordinates"": [[[2.35009126441938, 48.8619517498143], [2.35411149265971, 48.8692752858867], [2.36323895549957, 48.8677908163587], [2.36664249248927, 48.8631170046771], [2.36840857217282, 48.855737300041], [2.35009126441938, 48.8619517498143]]], ""type"": ""Polygon""}";48.8630306677, 2.35966713643
75011;6506;1162;2016;"{""coordinates"": [[[2.37701535209984, 48.871921129272], [2.39430044202936, 48.8564917114741], [2.39911844487259, 48.8480944847273], [2.36901963711685, 48.8532214407367], [2.36664249248927, 48.8631170046771], [2.36385133901257, 48.8674316382724], [2.37701535209984, 48.871921129272]]], ""type"": ""Polygon""}";48.8593266337, 2.37986086805
75014;6326;1276;2015;"{""coordinates"": [[[2.31414569967297, 48.8222905354331], [2.30131541848845, 48.8251257608331], [2.32466354462507, 48.8435180387147], [2.34203846359475, 48.8382969179241], [2.34149377223358, 48.8285681240667], [2.34441820366695, 48.8195940074234], [2.34390250474415, 48.8157670012883], [2.33189806063762, 48.8170109296333], [2.33246104245976, 48.8182471300745], [2.31414569967297, 48.8222905354331]]], ""type"": ""Polygon""}";48.8291473577, 2.32698552913
75005;1786;326;2017;"{""coordinates"": [[[2.34455922608557, 48.8539893055512], [2.36254835037693, 48.8474708379884], [2.36595082088096, 48.8449086592693], [2.36138703382881, 48.8398227761763], [2.35171806895176, 48.836813651144], [2.33659270717766, 48.8396905371344], [2.34455922608557, 48.8539893055512]]], ""type"": ""Polygon""}";48.844407753, 2.350655453
75008;861;122;2015;"{""coordinates"": [[[2.3271206970663, 48.8834854166088], [2.32576162546975, 48.8695461334678], [2.32077735158066, 48.8630750359323], [2.30155627217162, 48.8634752349574], [2.2951453922338, 48.8738619796685], [2.29834363574269, 48.8781328519077], [2.3271206970663, 48.8834854166088]]], ""type"": ""Polygon""}";48.8725623657, 2.31240969073
75018;9949;1930;2015;"{""coordinates"": [[[2.36467766640117, 48.8842913518655], [2.33795550611185, 48.882249883367], [2.3271206970663, 48.8834854166088], [2.32575714183504, 48.8869545567691], [2.32998052204671, 48.9011632821189], [2.3702905140491, 48.9016535952765], [2.36980824223766, 48.8933764506353], [2.36467766640117, 48.8842913518655]]], ""type"": ""Polygon""}";48.8923628559, 2.34785432498
75008;767;120;2017;"{""coordinates"": [[[2.3271206970663, 48.8834854166088], [2.32576162546975, 48.8695461334678], [2.32077735158066, 48.8630750359323], [2.30155627217162, 48.8634752349574], [2.2951453922338, 48.8738619796685], [2.29834363574269, 48.8781328519077], [2.3271206970663, 48.8834854166088]]], ""type"": ""Polygon""}";48.8725623657, 2.31240969073
75017;6536;1209;2015;"{""coordinates"": [[[2.31988717474414, 48.900459782082], [2.32998052204671, 48.9011632821189], [2.3260974369951, 48.8891112625569], [2.3271206970663, 48.8834854166088], [2.29834363574269, 48.8781328519077], [2.2951453922338, 48.8738619796685], [2.27994933256755, 48.8785731239734], [2.28232721114983, 48.8839231750196], [2.28566999320425, 48.8865737188509], [2.31988717474414, 48.900459782082]]], ""type"": ""Polygon""}";48.8872660268, 2.30686780021
75006;1385;139;2014;"{""coordinates"": [[[2.34455922608557, 48.8539893055512], [2.33659270717766, 48.8396905371344], [2.31662816028765, 48.8467523874689], [2.32862554778994, 48.8520123157451], [2.33284690006714, 48.8593009074522], [2.33843109348126, 48.8579082368057], [2.34455922608557, 48.8539893055512]]], ""type"": ""Polygon""}";48.8492531918, 2.33300877472
75013;11149;1908;2013;"{""coordinates"": [[[2.36595082088096, 48.8449086592693], [2.39007201451133, 48.8256923268112], [2.36394655019101, 48.8163142100251], [2.34390250474415, 48.8157670012883], [2.34441820366695, 48.8195940074234], [2.34149377223358, 48.8285681240667], [2.34203846359475, 48.8382969179241], [2.35308011410299, 48.8371726778218], [2.36138703382881, 48.8398227761763], [2.36595082088096, 48.8449086592693]]], ""type"": ""Polygon""}";48.8283577313, 2.36214011885
75006;1221;129;2015;"{""coordinates"": [[[2.34455922608557, 48.8539893055512], [2.33659270717766, 48.8396905371344], [2.31662816028765, 48.8467523874689], [2.32862554778994, 48.8520123157451], [2.33284690006714, 48.8593009074522], [2.33843109348126, 48.8579082368057], [2.34455922608557, 48.8539893055512]]], ""type"": ""Polygon""}";48.8492531918, 2.33300877472
75020;10274;2559;2016;"{""coordinates"": [[[2.37701535209984, 48.871921129272], [2.41069034663833, 48.8784751065079], [2.41327044978035, 48.8731169800362], [2.41597111076957, 48.8466229562686], [2.39911844487259, 48.8480944847273], [2.39430044202936, 48.8564917114741], [2.37701535209984, 48.871921129272]]], ""type"": ""Polygon""}";48.8634587721, 2.40123411777
75019;9789;2246;2016;"{""coordinates"": [[[2.37701535209984, 48.871921129272], [2.37034309079403, 48.8779090608478], [2.37021022590368, 48.8825821813927], [2.36467766640117, 48.8842913518655], [2.36980824223766, 48.8933764506353], [2.3702905140491, 48.9016535952765], [2.38514964293971, 48.9020077852065], [2.39265901404463, 48.8997933244929], [2.39762723366907, 48.8945781131531], [2.39884552718157, 48.8871090950641], [2.41069034663833, 48.8784751065079], [2.37701535209984, 48.871921129272]]], ""type"": ""Polygon""}";48.8868704923, 2.38465309568
75019;10230;2322;2015;"{""coordinates"": [[[2.37701535209984, 48.871921129272], [2.37034309079403, 48.8779090608478], [2.37021022590368, 48.8825821813927], [2.36467766640117, 48.8842913518655], [2.36980824223766, 48.8933764506353], [2.3702905140491, 48.9016535952765], [2.38514964293971, 48.9020077852065], [2.39265901404463, 48.8997933244929], [2.39762723366907, 48.8945781131531], [2.39884552718157, 48.8871090950641], [2.41069034663833, 48.8784751065079], [2.37701535209984, 48.871921129272]]], ""type"": ""Polygon""}";48.8868704923, 2.38465309568
75012;7607;1287;2014;"{""coordinates"": [[[2.36595082088096, 48.8449086592693], [2.36431803561907, 48.8461671913211], [2.36901963711685, 48.8532214407367], [2.39519112197072, 48.8484479278326], [2.41597111076957, 48.8466229562686], [2.41147187492762, 48.8339289387644], [2.41392106344663, 48.833711627043], [2.42213863624352, 48.8357976609467], [2.41935468026345, 48.8424574251634], [2.42184798892757, 48.8444372911819], [2.42437046638964, 48.8419429508425], [2.42813016998521, 48.8415283924648], [2.44919713959653, 48.8446607672546], [2.46492722527069, 48.8413263074933], [2.46742643872082, 48.8388912153633], [2.46758198836734, 48.8331333187843], [2.46269606275235, 48.8190597705554], [2.45723592780467, 48.8169791434167], [2.43844751027419, 48.8182324478685], [2.40603182340097, 48.8276154707707], [2.39007201451133, 48.8256923268112], [2.36595082088096, 48.8449086592693]]], ""type"": ""Polygon""}";48.8347421662, 2.42053665524
75005;1838;313;2016;"{""coordinates"": [[[2.34455922608557, 48.8539893055512], [2.36254835037693, 48.8474708379884], [2.36595082088096, 48.8449086592693], [2.36138703382881, 48.8398227761763], [2.35171806895176, 48.836813651144], [2.33659270717766, 48.8396905371344], [2.34455922608557, 48.8539893055512]]], ""type"": ""Polygon""}";48.844407753, 2.350655453
75003;1181;205;2017;"{""coordinates"": [[[2.35009126441938, 48.8619517498143], [2.35411149265971, 48.8692752858867], [2.36323895549957, 48.8677908163587], [2.36664249248927, 48.8631170046771], [2.36840857217282, 48.855737300041], [2.35009126441938, 48.8619517498143]]], ""type"": ""Polygon""}";48.8630306677, 2.35966713643
75001;677;92;2014;"{""coordinates"": [[[2.34455922608557, 48.8539893055512], [2.33843109348126, 48.8579082368057], [2.32077735158066, 48.8630750359323], [2.32521591269546, 48.8693667868936], [2.32766887314287, 48.8698608398302], [2.35084132055631, 48.8633444115649], [2.34455922608557, 48.8539893055512]]], ""type"": ""Polygon""}";48.862834158, 2.33616696102
75004;1101;210;2015;"{""coordinates"": [[[2.34455922608557, 48.8539893055512], [2.35009126441938, 48.8619517498143], [2.36840857217282, 48.855737300041], [2.36901963711685, 48.8532214407367], [2.36431803561907, 48.8461671913211], [2.34455922608557, 48.8539893055512]]], ""type"": ""Polygon""}";48.8542262543, 2.35736312527
75013;9344;2132;2017;"{""coordinates"": [[[2.36595082088096, 48.8449086592693], [2.39007201451133, 48.8256923268112], [2.36394655019101, 48.8163142100251], [2.34390250474415, 48.8157670012883], [2.34441820366695, 48.8195940074234], [2.34149377223358, 48.8285681240667], [2.34203846359475, 48.8382969179241], [2.35308011410299, 48.8371726778218], [2.36138703382881, 48.8398227761763], [2.36595082088096, 48.8449086592693]]], ""type"": ""Polygon""}";48.8283577313, 2.36214011885
75015;9096;1837;2016;"{""coordinates"": [[[2.28977827659606, 48.8581231137605], [2.31055850961587, 48.8467733241293], [2.31662816028765, 48.8467523874689], [2.32466354462507, 48.8435180387147], [2.30131541848845, 48.8251257608331], [2.27905193065333, 48.832489952137], [2.27279319018676, 48.8279200842171], [2.26754381105017, 48.8277864187341], [2.26721191224483, 48.8315321075909], [2.26943516616923, 48.8327958456285], [2.26279152452652, 48.8339233735154], [2.28977827659606, 48.8581231137605]]], ""type"": ""Polygon""}";48.8401714342, 2.29321693746
75006;1147;131;2016;"{""coordinates"": [[[2.34455922608557, 48.8539893055512], [2.33659270717766, 48.8396905371344], [2.31662816028765, 48.8467523874689], [2.32862554778994, 48.8520123157451], [2.33284690006714, 48.8593009074522], [2.33843109348126, 48.8579082368057], [2.34455922608557, 48.8539893055512]]], ""type"": ""Polygon""}";48.8492531918, 2.33300877472
75014;5918;1310;2016;"{""coordinates"": [[[2.31414569967297, 48.8222905354331], [2.30131541848845, 48.8251257608331], [2.32466354462507, 48.8435180387147], [2.34203846359475, 48.8382969179241], [2.34149377223358, 48.8285681240667], [2.34441820366695, 48.8195940074234], [2.34390250474415, 48.8157670012883], [2.33189806063762, 48.8170109296333], [2.33246104245976, 48.8182471300745], [2.31414569967297, 48.8222905354331]]], ""type"": ""Polygon""}";48.8291473577, 2.32698552913
75012;7676;1232;2013;"{""coordinates"": [[[2.36595082088096, 48.8449086592693], [2.36431803561907, 48.8461671913211], [2.36901963711685, 48.8532214407367], [2.39519112197072, 48.8484479278326], [2.41597111076957, 48.8466229562686], [2.41147187492762, 48.8339289387644], [2.41392106344663, 48.833711627043], [2.42213863624352, 48.8357976609467], [2.41935468026345, 48.8424574251634], [2.42184798892757, 48.8444372911819], [2.42437046638964, 48.8419429508425], [2.42813016998521, 48.8415283924648], [2.44919713959653, 48.8446607672546], [2.46492722527069, 48.8413263074933], [2.46742643872082, 48.8388912153633], [2.46758198836734, 48.8331333187843], [2.46269606275235, 48.8190597705554], [2.45723592780467, 48.8169791434167], [2.43844751027419, 48.8182324478685], [2.40603182340097, 48.8276154707707], [2.39007201451133, 48.8256923268112], [2.36595082088096, 48.8449086592693]]], ""type"": ""Polygon""}";48.8347421662, 2.42053665524
75019;11377;2261;2013;"{""coordinates"": [[[2.37701535209984, 48.871921129272], [2.37034309079403, 48.8779090608478], [2.37021022590368, 48.8825821813927], [2.36467766640117, 48.8842913518655], [2.36980824223766, 48.8933764506353], [2.3702905140491, 48.9016535952765], [2.38514964293971, 48.9020077852065], [2.39265901404463, 48.8997933244929], [2.39762723366907, 48.8945781131531], [2.39884552718157, 48.8871090950641], [2.41069034663833, 48.8784751065079], [2.37701535209984, 48.871921129272]]], ""type"": ""Polygon""}";48.8868704923, 2.38465309568
75005;2000;291;2015;"{""coordinates"": [[[2.34455922608557, 48.8539893055512], [2.36254835037693, 48.8474708379884], [2.36595082088096, 48.8449086592693], [2.36138703382881, 48.8398227761763], [2.35171806895176, 48.836813651144], [2.33659270717766, 48.8396905371344], [2.34455922608557, 48.8539893055512]]], ""type"": ""Polygon""}";48.844407753, 2.350655453
75017;5977;1246;2017;"{""coordinates"": [[[2.31988717474414, 48.900459782082], [2.32998052204671, 48.9011632821189], [2.3260974369951, 48.8891112625569], [2.3271206970663, 48.8834854166088], [2.29834363574269, 48.8781328519077], [2.2951453922338, 48.8738619796685], [2.27994933256755, 48.8785731239734], [2.28232721114983, 48.8839231750196], [2.28566999320425, 48.8865737188509], [2.31988717474414, 48.900459782082]]], ""type"": ""Polygon""}";48.8872660268, 2.30686780021
75007;1284;140;2017;"{""coordinates"": [[[2.32077735158066, 48.8630750359323], [2.33284690006714, 48.8593009074522], [2.32862554778994, 48.8520123157451], [2.31662816028765, 48.8467523874689], [2.31055850961587, 48.8467733241293], [2.28977827659606, 48.8581231137605], [2.29951265294103, 48.8632951122884], [2.32077735158066, 48.8630750359323]]], ""type"": ""Polygon""}";48.8561051636, 2.31254406306
75020;10844;2495;2015;"{""coordinates"": [[[2.37701535209984, 48.871921129272], [2.41069034663833, 48.8784751065079], [2.41327044978035, 48.8731169800362], [2.41597111076957, 48.8466229562686], [2.39911844487259, 48.8480944847273], [2.39430044202936, 48.8564917114741], [2.37701535209984, 48.871921129272]]], ""type"": ""Polygon""}";48.8634587721, 2.40123411777
